"MessageID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage","Special Export Value"
"14","75968","Temperature - 75968","8/18/2015 3:42:00 PM","77.72","77.7? F","100","25.4","16","106575","False","82","3.08",
"15","75981","Temperature - 75981","8/18/2015 3:42:00 PM","76.64","76.6? F","100","24.8","16","106575","False","100","3.1",
"16","75994","Open / Closed - 75994","8/18/2015 3:42:54 PM","0","Open","100","False","2","106575","False","100","3.12",
