,Animal,Backing,Cyclist,Entering/Exiting,Hazardous Materials,Head-on Collision,Hit in Rear,Hit Other in Rear,Hit Parked Vehicle,Hit Stationary Object,Hit While Parked,Intersection ,Jacknife,Moving Object,Parking Lot,Rollaway,Sideswipe,,,,,,,,,,,,,,,,,,
a. Size up situation,4,1,3,1,8,3,2,3,1,1,8,3,4,4,1,8,2,,,,,,,,,,,,,,,,,,
b. Driver side back,4,1,3,2,8,3,2,3,1,1,8,3,4,4,1,8,2,,,,,,,,,,,,,,,,,,
c. Check rear,3,1,3,2,8,8,8,4,1,1,8,3,8,4,1,8,8,,,,,,,,,,,,,,,,,,
d. Gets attention,4,1,3,2,8,8,3,4,3,4,8,3,8,4,1,8,4,,,,,,,,,,,,,,,,,,
e. Backs slowly,3,1,3,2,8,8,4,4,1,1,8,3,4,4,1,8,4,,,,,,,,,,,,,,,,,,
f. Re-checks conditions,4,1,3,2,8,8,4,4,1,1,8,3,8,4,1,8,4,,,,,,,,,,,,,,,,,,
g. Uses other aids,4,1,3,2,8,8,4,4,1,1,8,3,8,4,1,8,4,,,,,,,,,,,,,,,,,,
h. Steers correctly,4,1,3,2,8,8,4,4,1,1,8,3,8,4,1,8,4,,,,,,,,,,,,,,,,,,
i. Doesn't hit dock,8,1,8,8,8,8,8,8,8,1,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,
j. Use a Spotter (If Applicable),2,2,3,2,8,8,4,3,2,2,8,4,8,3,2,8,2,,,,,,,,,,,,,,,,,,
Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Adjust to conditions,2,1,3,1,8,1,2,1,1,1,8,3,1,2,1,8,1,,,,,,,,,,,,,,,,,,
b. Speed,2,1,3,1,8,1,2,1,1,1,8,3,1,2,1,8,1,,,,,,,,,,,,,,,,,,
c. Proper following distance,3,4,4,4,8,4,2,1,3,4,8,3,2,2,2,8,3,,,,,,,,,,,,,,,,,,
d. Speed on curves,3,4,3,8,8,1,2,1,1,1,8,3,2,3,4,8,1,,,,,,,,,,,,,,,,,,
Intersections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Approach - decision point,3,4,3,4,8,3,1,4,4,4,8,3,2,4,8,8,4,,,,,,,,,,,,,,,,,,
b. Clear Intersection L-R-L,2,4,3,8,8,2,1,3,4,4,8,3,2,4,8,8,4,,,,,,,,,,,,,,,,,,
c. Check mirrors,4,4,3,4,8,4,2,4,4,4,8,3,4,4,8,8,4,,,,,,,,,,,,,,,,,,
d. Full stop when needed,3,4,3,4,8,4,4,1,4,4,8,3,4,4,8,8,4,,,,,,,,,,,,,,,,,,
e. Times light or starts too fast,3,4,3,4,8,1,3,1,4,4,8,3,3,4,8,8,4,,,,,,,,,,,,,,,,,,
f. Steering axle straight,8,4,4,4,8,1,3,4,8,8,8,3,8,4,8,8,4,,,,,,,,,,,,,,,,,,
g. Yields right-of-way,4,4,3,4,8,1,3,3,8,8,8,3,8,4,8,8,4,,,,,,,,,,,,,,,,,,
h. Proper speed/gear,3,4,3,4,8,2,3,2,8,8,8,3,2,4,8,8,4,,,,,,,,,,,,,,,,,,
i. Leaves space for an out,8,1,4,4,8,4,4,2,4,4,8,3,8,4,8,8,4,,,,,,,,,,,,,,,,,,
j. Stop lines - crosswalks,4,4,2,4,8,4,3,4,4,4,8,3,8,4,8,8,4,,,,,,,,,,,,,,,,,,
k. Railroad crossings,4,4,4,4,8,4,3,3,4,3,8,3,8,4,8,8,4,,,,,,,,,,,,,,,,,,
Turning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Signals correctly,8,4,3,1,8,2,4,4,4,4,8,3,4,4,4,8,4,,,,,,,,,,,,,,,,,,
b. Gets in proper lane,4,4,3,2,8,4,2,3,3,3,8,4,8,4,8,8,4,,,,,,,,,,,,,,,,,,
c. Downshifts to pulling gear,4,4,3,2,8,4,3,1,3,3,8,3,3,4,8,4,4,,,,,,,,,,,,,,,,,,
d. Handles light correctly,3,4,3,4,8,2,2,2,3,3,8,3,2,4,8,8,4,,,,,,,,,,,,,,,,,,
e. Set up & execution,3,4,3,3,8,3,2,2,3,3,8,3,4,4,8,8,4,,,,,,,,,,,,,,,,,,
f. Turn speed,3,4,3,2,8,2,2,1,2,2,8,3,2,4,8,8,3,,,,,,,,,,,,,,,,,,
g. Mirror follow up,3,1,3,1,8,2,1,3,1,1,8,3,4,4,1,8,1,,,,,,,,,,,,,,,,,,
h. Turns lane to lane,4,4,3,3,8,2,4,4,2,2,8,3,8,4,8,8,2,,,,,,,,,,,,,,,,,,
